population,ID,treatment,temp,t_mean,bw,mmr_unscaled,mmr_scaled,rmr_unscaled,rmr_scaled,aas,fas,notes
Deschutes,D_I03,Int_22,22,21.94,0.0264,0.360109334,13.83512446,0.107616948,4.139068764,9.696055696,3.342569367,
Deschutes,D_I04,Int_22,22,21.96249533,0.0192,0.271059074,13.18125127,0.115812006,5.602134056,7.579117214,2.352898224,
Deschutes,D_I05,Int_22,22,22.11,0.0244,0.336845208,13.71821167,0.089187644,3.630452963,10.08775871,3.77865016,
Deschutes,D_I07,Int_22,22,22.27,0.0085,0.141235185,12.55187183,0.043197505,3.757109344,8.794762486,3.340832188,
Deschutes,D_I09,Int_22,22,22.03,0.0061,0.110977614,12.6074398,0.031552579,3.48477048,9.12266932,3.617868055,
Deschutes,D_I10,Int_22,22,22.03,0.0091,0.145564578,12.2998743,0.038113167,3.156036614,9.143837686,3.897253361,
Deschutes,D_I11,Int_22,22,22.19,0.009,0.15596656,13.28702139,0.04849989,4.048209171,9.238812219,3.282197344,
Siletz,S_A01,Ambient,16,16.87,0.0442,0.51196468,13.43269392,0.07553951,2.004688629,11.42800529,6.700638555,
Siletz,S_A02,Ambient,16,16.87,0.0391,0.473705106,13.60920836,0.07104556,2.059427341,11.54978102,6.608248852,
Siletz,S_A03,Ambient,16,16.86,0.0363,0.403425069,12.24524777,0.05603301,1.713515275,10.5317325,7.146272899,
Siletz,S_A04,Ambient,16,16.64,0.0226,0.222152892,9.575188317,0.03410562,1.467049171,8.108139146,6.526835301,
Siletz,S_A05,Ambient,16,19.54,0.0163,0.233093588,12.79520055,0.03173696,1.727297112,11.06790344,7.40764311,
Siletz,S_A06,Ambient,16,19.54,0.0217,0.295921137,13.14411595,0.03228538,1.429985691,11.71413026,9.191781454,
Siletz,S_A08,Ambient,16,17.61,0.0175,0.213097255,11.09852583,0.032202973,1.665272731,9.433253099,6.664689588,
Siletz,S_1901,Int_19,19,19.29,0.0222,0.362709232,15.8413798,0.06318518,2.753073988,13.08830581,5.754069768,
Siletz,S_1902,Int_19,19,19.27,0.0173,0.318814459,16.74632405,0.065740004,3.42778307,13.31854098,4.885467868,
Siletz,S_1903,Int_19,19,19.53,0.0205,0.34055524,15.77703204,0.090027474,4.15421608,11.62281596,3.797836159,
Siletz,S_1904,Int_19,19,20.41,0.0278,0.308541504,11.40922227,0.05001167,1.853258076,9.555964194,6.156305167,
Siletz,S_1905,Int_19,19,19.02,0.0215,0.292570395,13.08463208,0.05213752,2.32472441,10.75990767,5.628465904,
Siletz,S_1906,Int_19,19,19.03,0.0201,0.271997977,12.78604384,0.0503428,2.356204619,10.42983922,5.426542219,
Siletz,S_1907,Int_19,19,19.27,0.0266,0.334450696,12.77777659,0.06570904,2.513547759,10.26422883,5.083562286,
Siletz,S_1908,Int_19,19,19.9,0.0177,0.282132706,14.57098177,0.06462467,3.314624867,11.2563569,4.395967071,
Siletz,S_1909,Int_19,19,20.2,0.0295,0.431162345,15.25836963,0.07523151,2.67118966,12.58717997,5.712200021,
Siletz,S_1910,Int_19,19,20.19,0.0226,0.241160598,10.39445456,0.04278093,1.840216594,8.554237966,5.648495178,
Siletz,S_2202,Int_22,22,21.86,0.0195,0.19659912,9.451300136,0.09900151,4.735803738,4.715496398,1.995711955,
Siletz,S_2203,Int_22,22,22.06,0.0217,0.495476617,21.94567548,0.07939048,3.516367172,18.42930831,6.241007952,
Siletz,S_2204,Int_22,22,22.94,0.0323,0.276058896,9.135398108,0.07931738,2.638270623,6.497127485,3.462646336,
Siletz,S_2205,Int_22,22,23.21,0.0213,0.271765116,12.23850588,0.05524886,2.480086363,9.758419517,4.934709558,
Siletz,S_2207,Int_22,22,23.4,0.041,0.4379452,12.14773514,0.09480628,2.655886594,9.491848546,4.573890755,
Siletz,S_2208,Int_22,22,22.97,0.0229,0.290963885,12.41928026,0.06382908,2.719655123,9.699625137,4.566490859,
Siletz,S_2209,Int_22,22,23.1,0.0236,0.262007954,10.93692393,0.06784881,2.828931232,8.107992698,3.866097488,
Siletz,S_2210,Int_22,22,23.08,0.0151,0.172400186,10.01452573,0.06816445,3.919866987,6.094658743,2.554812641,
Siletz,S_2501,Climate,25,24.78,0.0163,0.229689159,12.60832132,0.10065808,5.478357438,7.129963882,2.301478402,
Siletz,S_2502,Climate,25,24.77,0.0223,0.263277215,11.46049232,0.10144799,4.405961957,7.054530363,2.601132836,
Siletz,S_2503,Climate,25,24.75,0.0354,0.40842609,12.62951464,0.17068531,5.314844886,7.314669754,2.376271539,
Siletz,S_2504,Climate,25,25.26,0.04,0.34414242,9.721861114,0.1254454,3.577242192,6.144618922,2.717697207,
Siletz,S_2506,Climate,25,25.07,0.0171,0.173972602,9.217206874,0.07584407,3.987872168,5.229334706,2.311309512,
Siletz,S_2507,Climate,25,25.09,0.0226,0.240257688,10.35553751,0.10068916,4.331132192,6.024405318,2.390953924,
Siletz,S_2508,Climate,25,24.67,0.0188,0.251515392,12.42291052,0.11942077,5.864932433,6.557978087,2.118167713,
Siletz,S_2509,Climate,25,24.71,0.0221,0.282445431,12.37712762,0.11754916,5.138470772,7.238656848,2.408718113,
Siletz,S_2510,Climate,25,24.77,0.0181,0.172882974,8.782247602,0.08472142,4.276036956,4.506210646,2.053828742,
North Umpqua,NU_A01,Ambient,16,16.79,0.0143,0.164575848,9.952977712,0.03261063,1.950266835,8.002710877,5.103392794,
North Umpqua,NU_A02,Ambient,16,16.79,0.0146,0.1180627,7.031163475,0.040345197,2.377029568,4.654133907,2.957962143,
North Umpqua,NU_A03,Ambient,16,16.67,0.0136,0.164288664,10.31156072,0.024251049,1.503693466,8.807867254,6.857488546,
North Umpqua,NU_A05,Ambient,16,16.79,0.0097,0.100407195,8.092623747,0.029245879,2.312947794,5.779675953,3.498835455,rmr at 17
North Umpqua,NU_A07,Ambient,16,16.75,0.0203,0.202407732,9.445297212,0.033426123,1.553336899,7.891960313,6.080649483,rmr at 17
North Umpqua,NU_A08,Ambient,16,16.74,0.0142,0.179926656,10.93799527,0.03249514,1.953204008,8.984791262,5.600027045,rmr at 17
North Umpqua,NU_A09,Ambient,16,16.36,0.0158,0.171102022,9.611352274,0.032011796,1.781778562,7.829573712,5.394246221,
North Umpqua,NU_A10,Ambient,16,16.34,0.0114,0.172004778,12.30173929,0.031266674,2.201339316,10.10039997,5.588297633,
North Umpqua,NU_A11,Ambient,16,16.24,0.0181,0.198650926,10.09122864,0.041154159,2.077121779,8.014106861,4.858274918,
North Umpqua,NU_A12,Ambient,16,16.24,0.0186,0.198287232,9.871673191,0.03434855,1.699948961,8.17172423,5.807040927,
North Umpqua,NU_H01,Climate,25,25,0.0225,0.280120125,12.11336618,0.094454332,4.075935129,8.037431051,2.971923202,
North Umpqua,NU_H02,Climate,25,24.99,0.0214,0.211216896,9.478902617,0.11373696,5.088391247,4.39051137,1.862848621,
North Umpqua,NU_H03,Climate,25,25.06,0.0133,0.136041378,8.680733146,0.050572355,3.186521053,5.494212093,2.724203921,
North Umpqua,NU_H05,Climate,25,25.15,0.0135,0.14824443,9.355499796,0.052306608,3.260566361,6.094933435,2.869286731,
North Umpqua,NU_H06,Climate,25,25.14,0.0191,0.191430274,9.345047796,0.076330783,3.706231042,5.638816754,2.52144232,
North Umpqua,NU_H07,Climate,25,25.19,0.0221,0.247214054,10.83324267,0.103034975,4.504006734,6.329235936,2.405245665,
North Umpqua,NU_H08,Climate,25,25.18,0.0351,0.336593132,10.47402441,0.132244753,4.143183062,6.330841348,2.528013909,
North Umpqua,NU_H09,Climate,25,24.89,0.0181,0.186411448,9.469477845,0.067394075,3.401495793,6.067982052,2.783915789,
North Umpqua,NU_H10,Climate,25,24.9,0.0177,0.142084689,7.338083709,0.075581477,3.876603842,3.461479867,1.892915554,
North Umpqua,NU_H11,Climate,25,24.96,0.0131,0.13789737,8.898377422,0.056591479,3.60489409,5.293483332,2.46841577,
North Umpqua,NU_H12,Climate,25,24.94,0.0152,0.155539694,8.991094926,0.059401612,3.399755172,5.591339754,2.644630119,
North Umpqua,NU_I01,Int_22,22,22.24,0.0421,0.388484073,10.56671673,0.124660127,3.426267395,7.140449335,3.084031546,
North Umpqua,NU_I01,Int_22,22,22.24,0.0165,0.17534226,9.538587741,0.056789138,3.063752213,6.474835528,3.113367883,
North Umpqua,NU_I01,Int_22,22,22.22,0.0321,0.423063192,14.06459127,0.098011285,3.274682941,10.78990833,4.294947488,
North Umpqua,NU_I05,Int_22,22,22.18,0.0342,0.36393728,11.54470458,0.090449449,2.887246912,8.657457668,3.998516556,
North Umpqua,NU_I06,Int_22,22,22.18,0.0198,0.232663014,11.05937812,0.064563246,3.054662401,8.004715719,3.620491127,
North Umpqua,NU_I07,Int_22,22,22.18,0.0166,0.124828704,6.760363903,0.048861295,2.624604948,4.135758955,2.575764367,
North Umpqua,NU_I08,Int_22,22,22.18,0.0133,0.190570017,12.16017867,0.049082757,3.092662763,9.067515907,3.931944606,
North Umpqua,NU_I09,Int_22,22,22.11,0.0143,0.13977652,8.453200182,0.056195778,3.360768059,5.092432123,2.515258427,
North Umpqua,NU_I10,Int_22,22,22.11,0.0117,0.149431311,10.48382268,0.041160917,2.844251667,7.639571013,3.685968721,
North Umpqua,NU_I11,Int_22,22,22.27,0.0098,0.120367296,9.628016062,0.034971247,2.745396881,6.882619181,3.506966927,
North Umpqua,NU_I12,Int_22,22,22.27,0.0119,0.10728156,7.432859547,0.05169942,3.52913815,3.903721397,2.106140148,
North Umpqua,NU_C01,Int_19,19,18.98,0.0178,0.185145264,9.522202289,0.047082573,2.405108008,7.117094281,3.959157866,
North Umpqua,NU_C02,Int_19,19,18.98,0.0178,0.183582936,9.441850229,0.041858547,2.138250338,7.303599891,4.41568981,
North Umpqua,NU_C03,Int_19,19,19.07,0.0159,0.226030093,12.63769848,0.042200172,2.338218465,10.29948002,5.404840766,
North Umpqua,NU_C05,Int_19,19,19.34,0.0223,0.277928343,12.09825787,0.054874042,2.383220601,9.715037269,5.07643223,
North Umpqua,NU_C06,Int_19,19,19.33,0.0127,0.174163184,11.49945346,0.038661535,2.518356516,8.981096944,4.566253184,
North Umpqua,NU_C07,Int_19,19,19.41,0.0135,0.11772964,7.429753839,0.03882622,2.420257584,5.009496255,3.069819464,
North Umpqua,NU_C08,Int_19,19,19.41,0.0177,0.197892002,10.2202995,0.05054707,2.592579187,7.627720313,3.942135905,
North Umpqua,NU_C09,Int_19,19,18.98284404,0.0133,0.173750113,11.0869089,0.033152551,2.088914015,8.997994885,5.30749893,
North Umpqua,NU_C10,Int_19,19,18.98,0.0143,0.162018181,9.798298864,0.041544111,2.48453042,7.313768444,3.943722639,
North Umpqua,NU_C11,Int_19,19,18.94,0.0108,0.136363278,10.15078084,0.031606408,2.313592319,7.837188521,4.387454417,
North Umpqua,NU_C12,Int_19,19,18.95273006,0.0118,0.119304496,8.317632401,0.03409393,2.341525067,5.976107334,3.552228639,
