treatment,trial_start_temp,ctmax,mmr_temp
ambient,21,31.1,19
ambient,21,31.4,19
ambient,21,31,19
ambient,21,31.1,19
ambient,21,31.1,19
ambient,21,31.3,19
ambient,21,30.8,19
ambient,21,30.9,19
ambient,21,31,19
ambient,21,31,19
ambient,21,31,19
ambient,21,31.2,19
ambient,21,31.6,19
ambient,21,31.6,19
ambient,21,31.7,19
ambient,21,31.8,19
hot,26,30.8,27
hot,26,31,27
hot,26,31,27
hot,26,31.3,27
hot,26,31.3,27
hot,26,31.3,27
hot,26,31.4,27
