min_start,min_start_real,t_mean,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
14.7,14,16.58315468,8/14/2021 11:37,0.0226,8.983556283,0.203028372,8.733241173,9.575188317,A04,16,91.20699128,8.108139146,0.841947144,10.38397503,1.096407179,1.467049171,7.266192002,1.983232358,4.787594159,3.501130793,-0.012281,2.948073777,1.462819711,5.841864444,-0.11956
20,19,16.58315468,8/14/2021 11:42,0.0226,3.608709027,0.081556824,3.508157044,9.575188317,A04,16,36.63799528,8.108139146,6.067031273,74.8264326,2.729406978,1.467049171,2.041107873,0.713492735,4.787594159,3.501130793,-0.012281,2.772493234,,5.841864444,-0.11956
30.5,31,16.7,8/14/2021 11:54,0.0226,3.399429381,0.076827104,3.304708703,9.575188317,A04,16,34.51325022,8.108139146,6.270479614,77.3356192,2.897437922,1.467049171,1.837659532,0.608492768,4.787594159,3.501130793,-0.012281,2.392586504,,5.841864444,-0.11956
40.5,41,16.76,8/14/2021 12:04,0.0226,3.283870619,0.074215476,3.192369836,9.575188317,A04,16,33.34002142,8.108139146,6.382818481,78.72112659,2.999398193,1.467049171,1.725320665,0.545412926,4.787594159,3.501130793,-0.012281,2.116079322,,5.841864444,-0.11956
50.5,51,16.84,8/14/2021 12:14,0.0226,2.939924071,0.066442284,2.858006911,9.575188317,A04,16,29.84804911,8.108139146,6.717181406,82.84492021,3.350302716,1.467049171,1.39095774,0.329992531,4.787594159,3.501130793,-0.012281,1.871527608,,5.841864444,-0.11956
0,0,19.49,8/14/2021 11:37,0.0163,15.21394387,0.247987285,12.79520055,12.79520055,A05,16,100,11.06790344,0,0,1,1.727297112,11.06790344,2.404049337,6.397600275,3.501130793,-0.012281,3.501130793,2.023766642,5.841864444,-0.11956
8,6,19.55280928,8/14/2021 11:42,0.0163,4.661131656,0.075976446,4.135049348,12.79520055,A05,16,32.31719059,11.06790344,8.660151202,78.24563386,3.09432838,1.727297112,2.407752236,0.87869363,6.397600275,3.501130793,-0.012281,3.292611438,,5.841864444,-0.11956
18.5,17,16.7,8/14/2021 11:54,0.0163,3.644756564,0.059409532,3.233388234,12.79520055,A05,16,25.27032086,11.06790344,9.561812316,86.39226361,3.957211329,1.727297112,1.506091122,0.409517634,6.397600275,3.501130793,-0.012281,2.841434414,,5.841864444,-0.11956
28.5,27,16.76,8/14/2021 12:04,0.0163,3.400167546,0.055422731,3.016404948,12.79520055,A05,16,23.57450308,11.06790344,9.778795602,88.35273686,4.241870959,1.727297112,1.289107836,0.253950379,6.397600275,3.501130793,-0.012281,2.513054637,,5.841864444,-0.11956
38.5,37,16.84,8/14/2021 12:14,0.0163,3.334267914,0.054348567,2.957943131,12.79520055,A05,16,23.11759882,11.06790344,9.837257419,88.88094726,4.325708772,1.727297112,1.230646019,0.20753925,6.397600275,3.501130793,-0.012281,2.222625156,,5.841864444,-0.11956
48,47,16.93,8/14/2021 12:23,0.0163,3.245556871,0.052902577,2.87924453,12.79520055,A05,16,22.50253537,11.06790344,9.91595602,89.59199973,4.443943686,1.727297112,1.151947418,0.141453917,6.397600275,3.501130793,-0.012281,1.96576012,,5.841864444,-0.11956
0,0,19.49,8/14/2021 11:37,0.0217,14.66968908,0.318332253,13.14411595,13.14411595,A06,16,100,11.71413026,0,0,1,1.429985691,11.71413026,2.460795828,6.572057975,3.501130793,-0.012281,3.501130793,2.1057182,5.841864444,-0.11956
8,6,19.55280928,8/14/2021 11:42,0.0217,5.934646313,0.128781825,5.704011133,13.14411595,A06,16,43.3959283,11.71413026,7.440104817,63.51393276,2.304363656,1.429985691,4.274025442,1.45255611,6.572057975,3.501130793,-0.012281,3.292611438,-0.018760886,5.841864444,-0.11956
18.5,17,16.7,8/14/2021 11:54,0.0217,4.507493917,0.097812618,4.332321444,13.14411595,A06,16,32.96015845,11.71413026,8.811794506,75.22363428,3.033965997,1.429985691,2.902335753,1.065515845,6.572057975,3.501130793,-0.012281,2.841434414,,5.841864444,-0.11956
28.5,27,16.76,8/14/2021 12:04,0.0217,4.478175346,0.097176405,4.304142265,13.14411595,A06,16,32.74577219,11.71413026,8.839973685,75.46419144,3.053829344,1.429985691,2.874156574,1.055759266,6.572057975,3.501130793,-0.012281,2.513054637,,5.841864444,-0.11956
40,38,16.85,8/14/2021 12:15,0.0217,7.778879032,0.168801675,7.476572362,13.14411595,A06,16,56.88151558,11.71413026,5.667543588,48.38211171,1.758040358,1.429985691,6.046586671,1.799493926,6.572057975,3.501130793,-0.012281,2.195496024,,5.841864444,-0.11956
48,46,16.93,8/14/2021 12:23,0.0217,4.72029,0.102430293,4.536847739,13.14411595,A06,16,34.51618775,11.71413026,8.607268211,73.47765493,2.897191333,1.429985691,3.106862048,1.133613229,6.572057975,3.501130793,-0.012281,1.99005047,,5.841864444,-0.11956
0,0,17.61,8/14/2021 11:45,0.0175,13.08169,0.228929575,11.09852583,11.09852583,A08,16,100,9.433253099,0,0,1,1.665272731,9.433253099,2.244241011,5.549262915,3.501130793,-0.012281,3.501130793,1.780382042,5.841864444,-0.11956
12,10,17.64554909,8/14/2021 11:55,0.0175,6.46722,0.11317635,5.852549372,11.09852583,A08,16,52.73267334,9.433253099,5.245976458,55.61153086,1.896357489,1.665272731,4.187276641,1.432050556,5.549262915,3.501130793,-0.012281,3.096511019,0.086879855,5.841864444,-0.11956
