min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
28,17,19,7/26/2022 9:11,0.0092,5.742056522,0.05282692,A03,4.340151129,9.584267243,0.452841205,6.840631052,3.493271912,5.244116115,76.66129155,2.20827961,2.743636191,0.46782309,3.175950635,-0.011845,2.596701537,,4.569482683,-0.12934
4.5,27,19,7/26/2022 9:21,0.0092,6.25974587,0.057589662,A03,4.731448219,9.584267243,0.493668227,6.840631052,3.493271912,4.852819025,70.9411016,2.025651936,2.743636191,0.68703455,3.175950635,-0.011845,2.306640184,,4.569482683,-0.12934
4.5,37,19,7/26/2022 9:31,0.0092,6.056287174,0.055717842,A03,4.577663336,9.584267243,0.477622673,6.840631052,3.493271912,5.006603907,73.18921119,2.093702953,2.743636191,0.606514175,3.175950635,-0.011845,2.048979778,,4.569482683,-0.12934
4.5,45,19,7/26/2022 9:39,0.0092,5.622241957,0.051724626,A03,4.24958892,9.584267243,0.443392156,6.840631052,3.493271912,5.334678323,77.98517831,2.255339851,2.743636191,0.40942574,3.175950635,-0.011845,1.863733996,,4.569482683,-0.12934
14.5,55,19,7/26/2022 9:49,0.0092,5.11585587,0.047065874,A03,3.866835435,9.584267243,0.403456554,6.840631052,3.493271912,5.717431809,83.58047328,2.478581622,2.743636191,0.116181081,3.175950635,-0.011845,1.655547881,,4.569482683,-0.12934
24.5,65,19,7/26/2022 9:59,0.0092,5.436868478,0.05001919,A03,4.109473805,9.584267243,0.428772873,6.840631052,3.493271912,5.474793438,80.03345593,2.332237094,2.743636191,0.311767877,3.175950635,-0.011845,1.47061694,,4.569482683,-0.12934
1.53,0,19,7/26/2022 9:02,0.029,9.941022069,0.28828964,A05,10.33213602,10.33213602,1,6.905453797,3.015201099,0,0,1,3.426682228,1.932311504,3.175950635,-0.011845,3.175950635,1.316275023,4.569482683,-0.12934
10,10,19,7/26/2022 9:11,0.029,6.424547586,0.18631188,A05,6.697161736,10.33213602,0.648187531,6.905453797,3.015201099,3.634974289,52.63918051,1.542763401,3.426682228,1.184936613,3.175950635,-0.011845,2.821184974,-0.800076627,4.569482683,-0.12934
19,19,19,7/26/2022 9:20,0.029,5.213444138,0.15118988,A05,5.434667286,10.33213602,0.52599649,6.905453797,3.015201099,4.897468739,70.92175088,1.901153369,3.426682228,0.697131761,3.175950635,-0.011845,2.535908613,,4.569482683,-0.12934
29,29,19,7/26/2022 9:30,0.029,4.847263448,0.14057064,A05,5.052948376,10.33213602,0.48905167,6.905453797,3.015201099,5.279187649,76.44953981,2.044773715,3.426682228,0.48628668,3.175950635,-0.011845,2.252638059,,4.569482683,-0.12934
