min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B_20,B_30,Bebt_20,ln_mo2_minus_Bebt_20,Bebt_30,ln_mo2_minus_Bebt_30,A_20,A_30,beta_20,beta_30,alpha_20,alpha_30,aas_80_mo2,aas_80_time,fas_3_mo2,time_fas_3,time_round
44.5,56.5,16,8/9/2022 11:28,0.0203,3.52801202,0.071618644,A07,3.32817186,9.445297212,35.23628516,7.891960313,6.080649483,6.117125352,77.51084787,2.837983617,1.553336899,1.774834961,0.573707439,4.722648606,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,,3.148432404,,60
54.5,66.5,16,8/9/2022 11:38,0.0203,3.309299803,0.067178786,A07,3.121848344,9.445297212,33.05188046,7.891960313,6.080649483,6.323448868,80.12519852,3.025546462,1.553336899,1.568511445,0.450127045,4.722648606,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.131728962,,3.148432404,,70
1.38,0,16,8/9/2022 10:33,0.0142,12.67089127,0.179926656,A08,10.93799527,10.93799527,100,8.984791262,5.600027045,0,0,1,1.953204008,8.984791262,2.195533288,5.468997635,2.279078056,1.792847253,2.279078056,1.90295988,1.792847253,1.972961512,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,22.5,3.645998423,24.3,0
8,8,16,8/9/2022 10:39,0.0142,7.215043944,0.102453624,A08,6.158238642,10.93799527,56.3013467,8.984791262,5.600027045,4.779756628,53.19830465,1.776156448,1.953204008,4.205034634,1.43628253,5.468997635,2.279078056,1.792847253,2.075983464,0.75567642,1.698043999,0.919083083,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,10
4.5,16.5,16,8/9/2022 10:48,0.0142,4.343929859,0.061683804,A08,3.707663727,10.93799527,33.89710485,8.984791262,5.600027045,7.230331543,80.47300524,2.950104453,1.953204008,1.754459719,0.562160957,5.468997635,2.279078056,1.792847253,,,1.602802244,-1.886130757,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,20
14.5,26.5,16,8/9/2022 10:58,0.0142,3.699572958,0.052533936,A08,3.157687372,10.93799527,28.86897729,8.984791262,5.600027045,7.780307898,86.59419758,3.463925963,1.953204008,1.204483364,0.186050731,5.468997635,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,30
24.5,36.5,16,8/9/2022 11:08,0.0142,3.496476338,0.049649964,A08,2.984338815,10.93799527,27.28414797,8.984791262,5.600027045,7.953656455,88.523553,3.665131859,1.953204008,1.031134807,0.03065995,5.468997635,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,40
34.5,46.5,16,8/9/2022 11:18,0.0142,2.95439831,0.041952456,A08,2.521660295,10.93799527,23.05413589,8.984791262,5.600027045,8.416334975,93.67312751,4.337616487,1.953204008,0.568456287,-0.564830861,5.468997635,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,50
44.5,56.5,16,8/9/2022 11:28,0.0142,3.191100845,0.045313632,A08,2.723692425,10.93799527,24.90120316,8.984791262,5.600027045,8.214302845,91.42452624,4.01587021,1.953204008,0.770488417,-0.260730657,5.468997635,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,60
54.5,66.5,16,8/9/2022 11:38,0.0142,3.233473521,0.045915324,A08,2.759858671,10.93799527,25.231851,8.984791262,5.600027045,8.178136599,91.02199885,3.963244707,1.953204008,0.806654663,-0.214859629,5.468997635,2.279078056,1.792847253,,,,,5.32700944,3.966682091,-0.01667,-0.006791,-0.13964,-0.13885,3.75016226,,3.645998423,,70
