population,min_start,min_start_real,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,A,alpha
John Day,34,34,7/15/2021 11:51,0.0449,4.886256281,0.219392907,5.756811573,12.33778399,A201,19,46.66001267,9.700218945,4.683184953,6.580972418,67.84354513,2.143162727,2.634485743,1.138578182,3.120074875,-0.008048,7.646897423,-0.18171
John Day,44,44,7/15/2021 12:01,0.0449,5.171103274,0.232182537,6.092408065,12.33778399,A201,19,49.38008373,9.700218945,4.683184953,6.245375926,64.38386558,2.025107947,2.634485743,1.240667924,3.120074875,-0.008048,7.646897423,-0.18171
John Day,54,54,7/15/2021 12:11,0.0449,7.689512405,0.345259107,9.05950721,12.33778399,A201,19,73.42896598,9.700218945,4.683184953,3.278276782,33.79590502,1.361860386,2.634485743,1.860199972,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/15/2021 11:11,0.0298,14.45988544,0.430904586,15.13549673,15.13549673,A202,19,100,13.15277721,7.633705408,0,0,1,1.982719521,2.576632931,3.120074875,-0.008048,7.646897423,-0.18171
John Day,8,8,7/15/2021 11:18,0.0298,5.781769799,0.17229674,6.073207893,15.13549673,A202,19,40.1255935,13.15277721,7.633705408,9.062288839,68.90019267,2.492174975,1.982719521,1.408664369,3.120074875,-0.008048,7.646897423,-0.18171
John Day,16,16,7/15/2021 11:26,0.0298,4.952389597,0.14758121,5.202021636,15.13549673,A202,19,34.36967896,13.15277721,7.633705408,9.933475096,75.52378435,2.909541288,1.982719521,1.169164602,3.120074875,-0.008048,7.646897423,-0.18171
John Day,24,24,7/15/2021 11:34,0.0298,3.919589396,0.116803764,4.117161714,15.13549673,A202,19,27.20202572,13.15277721,7.633705408,11.01833502,83.77192772,3.676196803,1.982719521,0.758205345,3.120074875,-0.008048,7.646897423,-0.18171
John Day,32,32,7/15/2021 11:51,0.0298,3.818562013,0.113793148,4.011041906,15.13549673,A202,19,26.50089374,13.15277721,7.633705408,11.12445483,84.57875206,3.773457641,1.982719521,0.70720904,3.120074875,-0.008048,7.646897423,-0.18171
John Day,42,42,7/15/2021 12:01,0.0298,3.799448725,0.113223572,3.990965187,15.13549673,A202,19,26.36824716,13.15277721,7.633705408,11.14453155,84.7313945,3.792440179,1.982719521,0.697261538,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/15/2021 11:18,0.0332,11.55351072,0.383576556,12.43785447,12.43785447,A203,19,100,10.35155214,5.961674048,0,0,1,2.086302332,2.337136473,3.120074875,-0.008048,7.646897423,-0.18171
John Day,8,8,7/15/2021 11:26,0.0332,6.917831446,0.229672004,7.489717501,12.43785447,A203,19,60.21711796,10.35155214,5.961674048,4.948136973,47.80091822,1.660657357,2.086302332,1.687031192,3.120074875,-0.008048,7.646897423,-0.18171
John Day,16,16,7/15/2021 11:34,0.0332,4.291725904,0.1424853,4.646516016,12.43785447,A203,19,37.35785803,10.35155214,5.961674048,7.791338458,75.26734496,2.676812999,2.086302332,0.940090725,3.120074875,-0.008048,7.646897423,-0.18171
John Day,24,24,7/15/2021 11:51,0.0332,3.974845783,0.13196488,4.303439923,12.43785447,A203,19,34.59953589,10.35155214,5.961674048,8.134414551,78.5815928,2.890212177,2.086302332,0.796216991,3.120074875,-0.008048,7.646897423,-0.18171
John Day,32,32,7/15/2021 12:01,0.0332,3.831480602,0.127205156,4.148222972,12.43785447,A203,19,33.35159597,10.35155214,5.961674048,8.289631502,80.08104862,2.998357261,2.086302332,0.723637898,3.120074875,-0.008048,7.646897423,-0.18171
John Day,42,42,7/15/2021 12:11,0.0332,3.881935301,0.128880252,4.20284868,12.43785447,A203,19,33.79078513,10.35155214,5.961674048,8.235005794,79.55334314,2.959386696,2.086302332,0.749785679,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/15/2021 11:17,0.0364,12.26850654,0.446573638,13.52737895,13.52737895,A204,19,100,11.38824257,6.323757143,0,0,1,2.139136378,2.43258147,3.120074875,-0.008048,7.646897423,-0.18171
John Day,8,8,7/15/2021 11:25,0.0364,6.281556154,0.228648644,6.978344918,13.52737895,A204,19,51.58682214,11.38824257,6.323757143,6.549034029,57.50697695,1.938479555,2.139136378,1.576751183,3.120074875,-0.008048,7.646897423,-0.18171
John Day,16,16,7/15/2021 11:33,0.0364,4.002710385,0.145698658,4.446715589,13.52737895,A204,19,32.87196734,11.38824257,6.323757143,9.080663358,79.73717896,3.042105725,2.139136378,0.836199014,3.120074875,-0.008048,7.646897423,-0.18171
John Day,24,24,7/15/2021 11:41,0.0364,4.369705,0.159057262,4.8544195,13.52737895,A204,19,35.88588387,11.38824257,6.323757143,8.672959448,76.15713658,2.786611036,2.139136378,0.998896229,3.120074875,-0.008048,7.646897423,-0.18171
John Day,32,32,7/15/2021 11:50,0.0364,4.586310385,0.166941698,5.095052083,13.52737895,A204,19,37.66473981,11.38824257,6.323757143,8.432326864,74.0441452,2.655003075,2.139136378,1.083808486,3.120074875,-0.008048,7.646897423,-0.18171
John Day,42,42,7/15/2021 12:00,0.0364,4.841074231,0.176215102,5.378075899,13.52737895,A204,19,39.75696933,11.38824257,6.323757143,8.149303049,71.558917,2.515282269,2.139136378,1.175245968,3.120074875,-0.008048,7.646897423,-0.18171
John Day,52,52,7/15/2021 12:10,0.0364,5.396616538,0.196436842,5.995242368,13.52737895,A204,19,44.31932004,11.38824257,6.323757143,7.532136579,66.1395868,2.256352307,2.139136378,1.349657863,3.120074875,-0.008048,7.646897423,-0.18171
John Day,0,0,7/15/2021 11:27,0.0213,15.06855268,0.320960172,14.45392628,14.45392628,A206,19,100,11.5552476,4.986384445,0,0,1,2.89867868,2.447139671,3.120074875,-0.008048,7.646897423,-0.18171
John Day,8,8,7/15/2021 11:33,0.0213,6.712232629,0.142970555,6.41785774,14.45392628,A206,19,44.40217568,11.5552476,4.986384445,8.036068542,69.54475421,2.252141893,2.89867868,1.258227741,3.120074875,-0.008048,7.646897423,-0.18171
John Day,16,16,7/15/2021 11:41,0.0213,6.392281268,0.136155591,6.111938319,14.45392628,A206,19,42.28566135,11.5552476,4.986384445,8.341987963,72.19220437,2.364867825,2.89867868,1.167285886,3.120074875,-0.008048,7.646897423,-0.18171
John Day,24,24,7/15/2021 11:50,0.0213,5.885370376,0.125358389,5.627258754,14.45392628,A206,19,38.93238864,11.5552476,4.986384445,8.826667528,76.38665854,2.568555475,2.89867868,1.003781354,3.120074875,-0.008048,7.646897423,-0.18171
