"date","time","time_sec","Ch1_O2","Ch1_temp","Ch2_O2","Ch3_O2","Ch4_O2"
"8/14/2021","11:39:28",0,9.2788,16.949,8.7401,8.6286,8.3025
"8/14/2021","11:39:30",1.29,9.2771,16.953,8.7351,8.6268,8.2981
"8/14/2021","11:39:31",2.18,9.2756,16.956,8.735,8.6234,8.2947
"8/14/2021","11:39:32",3.18,9.2745,16.961,8.7292,8.6234,8.2904
"8/14/2021","11:39:32",4.06,9.2714,16.967,8.727,8.62,8.2877
"8/14/2021","11:39:33",4.99,9.273,16.987,8.7182,8.6151,8.2803
"8/14/2021","11:39:34",6,9.2747,17.011,8.7124,8.6068,8.274
"8/14/2021","11:39:35",6.99,9.2814,17.039,8.705,8.5982,8.2646
"8/14/2021","11:39:36",8.02,9.2834,17.056,8.702,8.5927,8.2601
"8/14/2021","11:39:37",8.99,9.2876,17.063,8.7037,8.5895,8.2593
"8/14/2021","11:39:38",10.01,9.2934,17.053,8.7134,8.5896,8.2623
"8/14/2021","11:39:39",10.99,9.2994,17.022,8.7399,8.5984,8.2689
"8/14/2021","11:39:40",12.01,9.3114,16.976,8.7726,8.6155,8.2854
"8/14/2021","11:39:41",12.99,9.3227,16.928,8.8138,8.638,8.3039
"8/14/2021","11:39:42",14.01,9.3331,16.897,8.8466,8.6536,8.3231
"8/14/2021","11:39:43",14.99,9.3372,16.88,8.8779,8.6674,8.3374
"8/14/2021","11:39:44",16.02,9.3381,16.874,8.8982,8.6739,8.3507
"8/14/2021","11:39:45",16.99,9.338,16.872,8.9158,8.6868,8.3603
"8/14/2021","11:39:46",17.99,9.3347,16.878,8.9306,8.6959,8.3687
"8/14/2021","11:39:47",18.99,9.3341,16.884,8.9476,8.7098,8.379
"8/14/2021","11:39:48",19.98,9.3312,16.886,8.9634,8.7209,8.3992
"8/14/2021","11:39:49",20.99,9.328,16.885,8.9769,8.7339,8.4169
"8/14/2021","11:39:50",21.99,9.3261,16.885,8.9896,8.745,8.4362
"8/14/2021","11:39:51",22.99,9.3265,16.891,9.0041,8.7547,8.4478
"8/14/2021","11:39:52",23.98,9.3269,16.894,9.0206,8.7663,8.4646
"8/14/2021","11:39:53",24.98,9.3226,16.893,9.0382,8.778,8.48
"8/14/2021","11:39:54",25.99,9.3237,16.883,9.0547,8.7924,8.4972
"8/14/2021","11:39:55",26.99,9.3257,16.879,9.0695,8.8021,8.5123
"8/14/2021","11:39:56",27.99,9.3287,16.879,9.0832,8.814,8.5253
"8/14/2021","11:39:57",28.98,9.3262,16.887,9.0913,8.8236,8.5397
"8/14/2021","11:39:58",29.99,9.325,16.894,9.0988,8.8332,8.5527
"8/14/2021","11:39:59",30.99,9.3243,16.902,9.1032,8.8353,8.5667
"8/14/2021","11:40:00",31.99,9.3189,16.908,9.1097,8.8381,8.5786
"8/14/2021","11:40:01",32.99,9.3158,16.912,9.1157,8.8399,8.5876
"8/14/2021","11:40:02",33.98,9.3143,16.917,9.1221,8.8441,8.5928
"8/14/2021","11:40:03",34.99,9.3171,16.917,9.1307,8.8544,8.6007
"8/14/2021","11:40:04",35.99,9.3166,16.918,9.1424,8.8634,8.6098
"8/14/2021","11:40:05",36.99,9.3182,16.915,9.153,8.8751,8.6247
"8/14/2021","11:40:06",37.98,9.3194,16.912,9.1659,8.8801,8.6394
"8/14/2021","11:40:07",38.99,9.3199,16.91,9.1727,8.8887,8.6531
"8/14/2021","11:40:08",39.98,9.3151,16.911,9.1803,8.8957,8.6625
"8/14/2021","11:40:09",40.98,9.3128,16.913,9.1889,8.905,8.6695
"8/14/2021","11:40:10",41.99,9.3132,16.912,9.1995,8.9142,8.6797
"8/14/2021","11:40:11",42.98,9.314,16.912,9.21,8.9219,8.6896
"8/14/2021","11:40:12",43.98,9.3148,16.911,9.2193,8.9236,8.7002
"8/14/2021","11:40:13",44.98,9.3119,16.912,9.2241,8.9276,8.7099
"8/14/2021","11:40:14",45.99,9.3116,16.912,9.2306,8.9345,8.7199
"8/14/2021","11:40:15",46.99,9.311,16.914,9.2339,8.9414,8.7277
"8/14/2021","11:40:16",47.99,9.3128,16.914,9.2417,8.9493,8.7343
"8/14/2021","11:40:17",48.98,9.3106,16.914,9.2478,8.9568,8.7405
"8/14/2021","11:40:18",49.99,9.3119,16.912,9.2542,8.9679,8.7467
"8/14/2021","11:40:19",50.99,9.3119,16.912,9.2629,8.9751,8.7569
"8/14/2021","11:40:20",51.98,9.3134,16.911,9.2663,8.9786,8.7679
"8/14/2021","11:40:21",52.98,9.3145,16.912,9.2735,8.982,8.7761
"8/14/2021","11:40:22",53.99,9.3152,16.915,9.278,8.985,8.7842
"8/14/2021","11:40:23",54.99,9.3183,16.913,9.2877,8.989,8.7909
"8/14/2021","11:40:24",55.99,9.3165,16.915,9.2891,8.9953,8.7998
"8/14/2021","11:40:25",56.98,9.3169,16.919,9.292,8.9991,8.8054
"8/14/2021","11:40:26",57.99,9.3146,16.923,9.2902,9.005,8.8136
