date,box,channel,cycle_file_start,sectioned_slope_start,sectioned_slope_end,type
jul26,2,1,0,1247,1250,smr
jul26,2,1,0,1225,1229,smr
jul26,2,1,0,1024,1029,smr
jul26,2,1,0,1335,1339,smr
jul26,2,2,0,204,209,smr
jul26,2,2,0,225,229,smr
jul26,2,2,0,244,248,smr
jul26,2,2,0,254,258.5,smr
jul26,2,2,0,76.5,80,smr
jul26,2,2,0,85,89,smr
jul26,2,2,0,195,199,smr
jul26,2,2,0,186,190,smr
jul26,2,2,0,167,170,smr
jul26,2,2,0,425,429,smr
jul26,2,2,0,405.5,410,smr
jul26,2,2,0,355.5,360,smr
jul26,2,2,0,365,369,smr
jul26,2,2,0,656,660,smr
jul26,2,2,0,645.5,650,smr
jul26,2,2,0,1045.5,1050,smr
jul26,2,2,0,946,949.5,smr
jul26,2,2,0,1155,1158.5,smr
jul26,2,2,0,1065.5,1070,smr
jul26,2,2,0,1095.5,1100,smr
jul26,2,2,0,1317,1320,smr
jul26,2,3,0,226,230,smr
jul26,2,3,0,135,139,smr
jul26,2,3,0,125,129,smr
jul26,2,3,0,245.5,250,smr
jul26,2,3,0,255.5,260,smr
jul26,2,3,0,55,59,smr
jul26,2,3,0,275,277.5,smr
jul26,2,3,0,366,370,smr
jul26,2,3,0,356,360,smr
jul26,2,3,0,466,470,smr
jul26,2,3,0,436.5,440,smr
jul26,2,3,0,535.5,540,smr
jul26,2,3,0,526,530,smr
jul26,2,3,0,506,510,smr
jul26,2,3,0,515,519,smr
jul26,2,3,0,1086,1090,smr
jul26,2,3,0,1105,1109,smr
jul26,2,3,0,1306,1310,smr
jul26,2,3,0,1326,1330,smr
jul26,2,3,0,1335,1339,smr
jul26,2,3,0,1276,1280,smr
jul26,2,4,0,14,17.5,smr
jul26,2,4,0,46,50,smr
jul26,2,4,0,147,150,smr
jul26,2,4,0,134,137,smr
jul26,2,4,0,124,127.5,smr
jul26,2,4,0,114,118,smr
jul26,2,4,0,284,288.5,smr
jul26,2,4,0,304,307,smr
jul26,2,4,0,344,348.5,smr
jul26,2,4,0,446,450,smr
jul26,2,4,0,465,468.5,smr
jul26,2,4,0,396,400,smr
jul26,2,4,0,475.5,480,smr
jul26,2,4,0,535.5,540,smr
jul26,2,4,1094,0,0,smr
jul26,2,4,0,1054,1058,smr
jul26,3,1,0,214,217.5,smr
jul26,3,1,44,0,0,smr
jul26,3,1,0,145.5,150,smr
jul26,3,1,0,255,260,smr
jul26,3,1,0,304,308,smr
jul26,3,1,0,324,329,smr
jul26,3,1,0,334,339,smr
jul26,3,1,0,424,428,smr
jul26,3,1,0,344,347,smr
jul26,3,1,0,354,358.5,smr
jul26,3,1,0,374,378,smr
jul26,3,1,0,364,368,smr
jul26,3,1,0,274,279,smr
jul26,3,1,0,284,289,smr
jul26,3,1,0,394,399,smr
jul26,3,1,0,496,500,smr
jul26,3,1,0,464,468,smr
jul26,3,1,0,404,407,smr
jul26,3,1,0,524,528,smr
jul26,3,1,0,1204,1207.5,smr
jul26,3,1,0,1054,1057,smr
jul26,3,1,0,1084,1089,smr
jul26,3,1,0,1274,1279,smr
jul26,3,2,0,254,259.5,smr
jul26,3,2,0,386,390,smr
jul26,3,2,0,366,370,smr
jul26,3,2,0,1126,1130,smr
jul26,3,2,0,1104,1108.5,smr
jul26,3,2,0,1114,1119,smr
jul26,3,2,0,1157,1160,smr
jul26,3,2,0,1236,1240,smr
jul26,3,2,1244,0,0,smr
jul26,3,2,0,1217,1220,smr
jul26,3,3,0,27,30,smr
jul26,3,3,0,416.5,420,smr
jul26,3,3,0,464,469,smr
jul26,3,3,0,527,530,smr
jul26,3,3,0,1074,1078,smr
